id,region,street,house_number,district_id,marker,izhs_id,susn_id
195,г.Алматы,"микрорайон ""Жас Қанат""",211,7,POINT (76.803828 43.200635),,570
196,г.Алматы,"микрорайон ""Жас Қанат""",218,7,POINT (76.815695 43.181666),,571
192,г.Алматы,"микрорайон ""Жас Қанат""",168,7,POINT (76.80107 43.19631),,568
190,г.Алматы,"микрорайон ""Жас Қанат""",158,7,POINT (76.799282 43.190632),,566
194,г.Алматы,"микрорайон ""Жас Қанат""",181,7,POINT (76.787209 43.227645),,453
193,г.Алматы,"микрорайон ""Жас Қанат""",170,7,POINT (76.796381 43.177162),,569
660,г.Алматы,микрорайон Акжар,54,1,POINT (76.876609 43.300621),,65
1440,г.Алматы,ул. Алексеева,78,2,POINT (76.923951 43.266797),,237
13,г.Алматы,микрорайон  Болашак,16,6,POINT (76.999562 43.285523),,505
1608,г.Алматы,ул. Арғымақ,30,5,POINT (76.922522 43.271759),,379
20,г.Алматы,микрорайон  Болашак,30,6,POINT (76.999822 43.28402),,524
1334,г.Алматы,ул. Айманова,49,2,POINT (76.895869 43.246856),,239
2190,г.Алматы,ул. Бурундайская,173/13,5,POINT (76.929385 43.335201),,347
7443,г.Алматы,ул. с/т Алатау,24А,6,POINT (77.00214 43.27598),,521
2944,г.Алматы,ул. Дуйсенова,159,2,POINT (76.866512 43.252517),,262
3788,г.Алматы,ул. Каримбаева,5,6,POINT (76.992187 43.280554),,533
4425,г.Алматы,ул. Логовая,61,5,POINT (76.927149 43.343095),,458
4626,г.Алматы,ул. Метростроевская,15,1,POINT (76.884757 43.265195),,189
4754,г.Алматы,ул. Муратбаева,42,2,POINT (76.917483 43.264066),,260
4875,г.Алматы,ул. Новгородская,62,5,POINT (76.926735 43.271241),,466
5178,г.Алматы,ул. Островского,4,5,POINT (76.935844 43.277286),,452
5231,г.Алматы,ул. Павлодарская,84,5,POINT (76.922783 43.334086),,338
5242,г.Алматы,ул. Палладина,162,5,POINT (76.92281 43.321055),,461
5989,г.Алматы,ул. ПКСТ Тастыбулак,1,7,POINT (76.808373 43.174874),,627
6258,г.Алматы,ул. Ратушного,101,5,POINT (76.91539 43.290989),,330
2020,г.Алматы,ул. Бокейханова,85,5,POINT (76.902633 43.288312),,395
2303,г.Алматы,ул. Вахтангова,7,4,POINT (76.88544 43.224584),,291
9251,г.Алматы,ул. с/т Связист,129,6,POINT (76.961159 43.180988),,485
11075,г.Алматы,ул. Тургенева,21,3,POINT (76.881999 43.208054),,231
11073,г.Алматы,ул. Тургенева,17,3,POINT (76.881855 43.208639),,227
8707,г.Алматы,ул. с/т Казахвзрывпром,39,6,POINT (77.003406 43.252661),,518
9920,г.Алматы,"ул. Сад.общ. ""г.Кок-Тюбе""",218,6,POINT (76.977391 43.243803),,501
1643,г.Алматы,ул. Арыкова,50,6,POINT (76.962883 43.271122),,481
173,г.Алматы,"микрорайон ""Дархан""",87,3,POINT (76.877822 43.220932),173,
63,г.Алматы,"микрорайон ""Алтын Бесик""",44,8,POINT (76.996409 43.329096),63,
64,г.Алматы,"микрорайон ""Алтын Бесик""",62,8,POINT (76.99233 43.336479),64,
41,г.Алматы,"микрорайон ""Акбулак""",Б/Н,8,POINT (76.994172 43.378076),41,
233,г.Алматы,"микрорайон ""Калкаман-2""",.186,4,POINT (76.881829 43.205103),233,
96,г.Алматы,"микрорайон ""Архат""",",68",8,POINT (77.011725 43.33425),96,
15,г.Алматы,микрорайон  Болашак,21,8,POINT (77.006685 43.376137),15,
347,г.Алматы,"микрорайон ""Мамыр-4""",102/6,1,POINT (76.816808 43.249523),347,
348,г.Алматы,"микрорайон ""Мамыр-4""",111/3,1,POINT (76.816889 43.250613),348,
342,г.Алматы,"микрорайон ""Мамыр-4""",158,1,POINT (76.825872 43.269987),342,
178,г.Алматы,"микрорайон ""Дубок-2""",73,3,POINT (76.857197 43.200917),178,
339,г.Алматы,"микрорайон ""Мамыр-4""",151,1,POINT (76.825747 43.269836),339,
308,г.Алматы,"микрорайон ""Каменка-3""",24,1,POINT (76.891234 43.316726),308,
55,г.Алматы,"микрорайон ""Алмагуль""",16,8,POINT (76.969064 43.327863),55,
129,г.Алматы,"микрорайон ""Атырау-2""",101,3,POINT (76.854358 43.202665),129,
338,г.Алматы,"микрорайон ""Мамыр-4""",131,1,POINT (76.833445 43.261879),338,
197,г.Алматы,"микрорайон ""Жас Қанат""",292,2,POINT (76.866494 43.250002),197,
39,г.Алматы,"микрорайон ""Акбулак""",23,8,POINT (76.965264 43.33985),39,
182,г.Алматы,"микрорайон ""Жазира""",46А,3,POINT (76.824678 43.224617),182,
390,г.Алматы,"микрорайон ""Мирас""",188/25,1,POINT (76.846695 43.286448),390,
17,г.Алматы,микрорайон  Болашак,23,8,POINT (77.004341 43.379249),17,
333,г.Алматы,"микрорайон ""Мамыр-4""",90,1,POINT (76.907907 43.343869),333,
131,г.Алматы,"микрорайон ""Атырау-2""",143,3,POINT (76.827921 43.228605),131,
388,г.Алматы,"микрорайон ""Мирас""",188/20,1,POINT (76.845231 43.29093),375,
389,г.Алматы,"микрорайон ""Мирас""",188/24,1,POINT (76.846004 43.293496),389,
329,г.Алматы,"микрорайон ""Мамыр-4""",58,1,POINT (76.897396 43.342623),329,
187,г.Алматы,"микрорайон ""Жас Қанат""",142,3,POINT (76.830247 43.226417),187,
117,г.Алматы,"микрорайон ""Атамекен""",57/1,6,POINT (76.976268 43.194871),117,
334,г.Алматы,"микрорайон ""Мамыр-4""",97,1,POINT (76.906568 43.345055),334,
128,г.Алматы,"микрорайон ""Атырау-2""",69,3,POINT (76.829106 43.219217),128,
71,г.Алматы,"микрорайон ""Алтын Бесик""",168,8,POINT (77.010863 43.375494),71,
79,г.Алматы,"микрорайон ""Алтын Бесик""",198,8,POINT (77.013998 43.337548),79,
65,г.Алматы,"микрорайон ""Алтын Бесик""",69,8,POINT (77.021499 43.332453),65,
343,г.Алматы,"микрорайон ""Мамыр-4""",188,1,POINT (76.82563 43.270066),343,
67,г.Алматы,"микрорайон ""Алтын Бесик""",100,8,POINT (76.995735 43.336263),67,
46,г.Алматы,"микрорайон ""Алгабас""",22,8,POINT (76.995358 43.380369),46,
311,г.Алматы,"микрорайон ""Каменка-3""",41Б,1,POINT (76.894216 43.314004),311,
147,г.Алматы,"микрорайон ""Бакай""",13,3,POINT (76.816692 43.231232),147,
82,г.Алматы,"микрорайон ""Алтын Бесик""",73,8,POINT (77.020169 43.333693),82,
330,г.Алматы,"микрорайон ""Мамыр-4""",64,1,POINT (76.902391 43.341744),330,
258,г.Алматы,"микрорайон ""Калкаман-3""",171,1,POINT (76.839051 43.335142),258,
77,г.Алматы,"микрорайон ""Алтын Бесик""",150,8,POINT (77.01786 43.336276),77,
313,г.Алматы,"микрорайон ""Каменка-3""",9,1,POINT (76.893022 43.328453),313,
130,г.Алматы,"микрорайон ""Атырау-2""",Е,3,POINT (76.81273 43.236815),130,
326,г.Алматы,"микрорайон ""Мамыр-4""",45,1,POINT (76.891629 43.330171),326,
81,г.Алматы,"микрорайон ""Алтын Бесик""",236,8,POINT (77.016369 43.333791),81,
69,г.Алматы,"микрорайон ""Алтын Бесик""",143,8,POINT (77.02122 43.335535),69,
76,г.Алматы,"микрорайон ""Алтын Бесик""", 132,8,POINT (77.014986 43.332506),76,
74,г.Алматы,"микрорайон ""Алтын Бесик""",220,8,POINT (77.004188 43.376143),74,
261,г.Алматы,"микрорайон ""Калкаман-3""",237,6,POINT (76.975963 43.199334),261,
398,г.Алматы,"микрорайон ""Мирас""",188/33,1,POINT (76.853693 43.28547),398,
183,г.Алматы,"микрорайон ""Жас Қанат""",22,3,POINT (76.824714 43.227008),183,
186,г.Алматы,"микрорайон ""Жас Қанат""",104,3,POINT (76.836787 43.214966),186,
200,г.Алматы,"микрорайон ""Жас Қанат""",324,2,POINT (76.895851 43.247139),200,
307,г.Алматы,"микрорайон ""Каменка-3""",13,1,POINT (76.891476 43.318661),307,
11352,г.Алматы,ул. Фурката,60,3,POINT (76.8615 43.248058),168,
53,г.Алматы,"микрорайон ""Алмагуль""",3А,8,POINT (77.011797 43.332683),53,
179,г.Алматы,"микрорайон ""Жазира""",1,3,POINT (76.881442 43.221924),179,
42,г.Алматы,"микрорайон ""Аксай-5""",25КОРП.7,8,POINT (76.957089 43.31325),42,
265,г.Алматы,"микрорайон ""Калкаман-3""",315,1,POINT (76.83817 43.335588),265,
331,г.Алматы,"микрорайон ""Мамыр-4""",65,1,POINT (76.897684 43.34282),331,
395,г.Алматы,"микрорайон ""Мирас""",188/30,1,POINT (76.854232 43.295307),395,
248,г.Алматы,"микрорайон ""Калкаман-3""", 48,5,POINT (76.939554 43.362767),248,
105,г.Алматы,"микрорайон ""Астана""",10,8,POINT (76.966108 43.301126),105,
54,г.Алматы,"микрорайон ""Алмагуль""",4Б,8,POINT (76.939985 43.348137),54,
110,г.Алматы,"микрорайон ""Астана""",7/3,6,POINT (77.148404 43.359077),110,
111,г.Алматы,"микрорайон ""Астана""",3Г,6,POINT (76.962156 43.265602),111,
260,г.Алматы,"микрорайон ""Калкаман-3""",219,1,POINT (76.846929 43.352162),260,
89,г.Алматы,"микрорайон ""Архат""",7,8,POINT (77.012866 43.332361),89,
